,"TABLE 7. NUTRITION: NEWBORNS, INFANTS AND YOUNG CHILDREN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,Weight at birth,,,,"Infant and Young Child Feeding (0-23 months)
2013?2018*",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Low birthweight
(%)
2015",,"Unweighed at birth
(%)
2010?2018*",,"Early
initiation
of breastfeeding
(%)",,"Exclusive
breastfeeding
(<6 months) 
(%)",,"Introduction
to solid,
semi-solid or
soft foods 
(6?8 months)
(%)",,"Continued breastfeeding 
(12?23 months) 
(%)",,,,,,"Minimum diet diversity 
(6?23 months)
(%)",,"Minimum meal frequency 
(6?23 months)
(%)",,"Minimum acceptable diet 
(6?23 months)
(%)",,"Zero vegetable or fruit consumption (6?23 months)
,Costa Rica,0.074772849,0,0.02167807,0,0.59626316,x,0.32540791,x,0.89655899,x,0.39779896,x,0.49601074,x,0.12832944,x,NA,,0.79428505,x,NA,,NA,,,,,,,,,,
,Côte d'Ivoire,0.15460178,0,0.245,0,0.36603085,,0.23128265,,0.65493095,,0.63096924,,0.75552391,,0.36240452,,0.22677824,,0.48965462,,0.13769083,,0.4409634,,,,,,,,,,
,Croatia,0.051036353,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Cuba,0.052635574,0,0.0518443,0,0.47877312,,0.32832527,,0.9106768,,0.30687815,,NA,,NA,,0.70148407,,0.79246628,,0.55993008,,0.26882854,,,,,,,,,,
,Cyprus,NA,0,0.265116642,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Czechia,0.078177896,0,0.000823942,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Democratic People's Republic of Korea,NA,0,0,0,0.425,,0.714,,0.782,,NA,,NA,,NA,,0.467,,0.75,,0.286,,NA,,,,,,,,,,
,Democratic Republic of the Congo,0.10843405,0,0.23941552,0,0.51926548,,0.47336025,,0.79274902,,0.819683,,0.86841934,,0.66589607,,0.17202019,,0.34647312,,0.083678122,,0.2872607,,,,,,,,,,
,Denmark,0.053433523,0,0.04330615,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Djibouti,NA,0,NA,0,0.52,x,0.124,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Dominica,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Dominican Republic,0.11294179,0,0.03895558,0,0.38075706,,0.04564405,,0.80525726,,0.19947975,,0.2715584,,0.14178377,,0.51307983,,0.79761658,,0.43048294,,0.34918953,,,,,,,,,,
,Ecuador,0.11180641,0,0.186357986,0,0.546,x,0.396,x,0.736,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Egypt,NA,0,0.38594905,0,0.2709951,,0.39536598,,0.75196083,,0.50463615,,0.58088089,,0.43396587,,0.34690113,,0.60237522,,0.23295528,,0.44697613,,,,,,,,,,
,El Salvador,0.10295944,0,0.07035067,0,0.42004864,,0.46734215,,0.90336411,,0.66789284,,0.7134404,,0.57209175,,0.72850906,,0.86942513,,0.6451709,,0.15860823,,,,,,,,,,
,Equatorial Guinea,NA,0,0.295,0,NA,,0.074,x,NA,,0.308,x,0.47282089,"x,r",0.34386997,"x,r",NA,,0.39,x,NA,,NA,,,,,,,,,,
,Eritrea,NA,0,0.652,0,0.931,x,0.687,x,0.442,x,0.86,x,NA,0,NA,0,NA,,NA,,NA,,NA,,,,,,,,,,
,Estonia,0.043443718,0,0.002626535,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Eswatini,0.10321427,0,0.08779195,0,0.48327488,,0.63823479,,0.89539223,,0.28463564,,0.28743979,,0.18860249,,0.47702911,,0.84593842,,0.38076611,,NA,,,,,,,,,,
,Ethiopia,NA,0,0.864,0,0.73329582,,0.56520683,,0.60001724,,0.84758087,,0.84211899,,0.82762138,,0.12488017,,0.4513026,,0.072952299,,0.687808,,,,,,,,,,
,Fiji,NA,0,0.109,x,0.573,x,0.398,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Finland,0.041218162,0,0.06203344,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,France,0.074371591,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Gabon,0.1421289,0,0.09291413,0,0.32336426,x,0.050756083,x,0.82385559,x,0.22843929,x,0.34341011,x,0.18729019,x,0.17827158,x,NA,,NA,,0.52459663,x,,,,,,,,,
,Gambia,0.16751015,0,0.40697629,0,0.51512726,,0.46779449,,0.55035408,,0.78498962,,0.80782997,,0.68864388,,0.10332583,,0.57537132,,0.083229542,,0.7562204,,,,,,,,,,
,Georgia,0.061172013,0,0,0,0.687,x,0.548,x,0.845,x,0.30131245,x,0.31099468,x,0.3105027,x,NA,,NA,,NA,,NA,,,,,,,,,,
,Germany,0.066457105,0,0.020539309,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Ghana,0.1415881,0,0.39671162,0,0.55614155,,0.52085804,,0.73095009,,0.75925529,,0.92025787,,0.70675789,,0.24404594,,0.43266636,,0.13261838,,0.50589531,,,,,,,,,,
,Greece,0.087483921,0,0.036687219,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Grenada,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Guatemala,0.10957713,0,0.05758976,0,0.63133484,,0.53236492,,0.79800125,,0.72040627,,0.85216827,,0.47555321,,0.59316128,,0.8242955,,0.52061028,,0.2675561,,,,,,,,,,
,Guinea,NA,0,0.487,0,0.33869759,,0.334,,0.53696823,,0.776,,0.90933044,r,0.53421932,r,0.058890476,,0.24058857,,0.018107755,,0.84808601,,,,,,,,,,
,Guinea-Bissau,0.21075216,0,0.5630263,0,0.33657967,,0.52541714,,0.57177322,,0.77001976,,0.82835136,,0.57340336,,0.10018054,,0.57300228,,0.077728214,,0.4362265,,,,,,,,,,
,Guyana,0.15618451,0,0.1120028,0,0.49213158,,0.21100428,,0.80891869,,0.45998138,,0.63645958,,0.24689426,,0.40285889,,0.63000511,,0.27761177,,0.32799072,,,,,,,,,,
,Haiti,NA,0,0.665,0,0.47352592,,0.39875298,,0.91283195,,0.52460415,,0.58783657,,0.43411049,,0.19176323,,0.39475147,,0.11129445,,0.54659348,,,,,,,,,,
,Holy See,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Honduras,0.1089721,0,0.16939299,0,0.63797344,x,0.30749973,x,0.86258842,x,0.58911865,x,0.75857834,x,0.41650066,x,0.60726421,x,0.86068283,x,0.54787403,x,0.36059898,x,,,,,,,,,
,Hungary,0.087674103,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Iceland,0.041936245,0,0.084643018,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,India,NA,z,0.221,0,0.41498436,,0.54872589,,0.45798512,,0.79550217,,0.87527084,,0.68516663,,0.19870314,,0.35928535,,0.095559235,,0.54711174,,,,,,,,,,
,Indonesia,0.099694548,0,0.10016486,0,0.582,,0.50672592,,0.85528419,,0.67291191,,0.74239639,,0.55874397,,0.53925323,,0.7170536,,0.40341499,,0.17848288,,,,,,,,,,
,Iran (Islamic Republic of),NA,0,NA,0,0.687,x,0.531,x,0.759,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Iraq,NA,0,0.28,0,0.32358322,,0.25822445,,0.84785439,,0.3533202,,0.46578106,,0.32455746,,0.44582573,,0.77583061,,0.34988544,,0.25317371,,,,,,,,,,
,Ireland,0.058868113,0,0.041462926,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Israel,0.077825155,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Italy,0.069646678,0,0.022180664,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Jamaica,0.14582915,0,0.03530131,0,0.64718956,x,0.23779669,x,0.63538231,x,0.37669949,x,0.39487129,x,0.29071745,x,NA,,0.42007225,x,NA,,NA,,,,,,,,,,
,Japan,0.094886723,0,0.045491136,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Jordan,0.13782714,0,0.053,0,0.67048759,,0.2540476,,0.83392143,,0.26147621,,0.28023586,,0.32572956,,0.34953205,,0.6219492,,0.22532862,,0.41086464,,,,,,,,,,
,Kazakhstan,0.054285703,0,0.01411501,0,0.83288734,,0.3777187,,0.6649617,,0.40789272,,0.39550774,,0.44826748,,0.48980808,,0.76860947,,0.37908714,,0.2121459,,,,,,,,,,
